NP_414542.1		thrL	b0001
NP_414543.1		thrA	b0002
NP_414544.1		thrB	b0003
NP_414545.1		thrC	b0004
NP_414546.1		yaaX	b0005
NP_414547.1		yaaA	b0006
NP_414548.1		yaaJ	b0007
NP_414549.1		talB	b0008
NP_414550.1		mog	b0009
NP_414551.1		satP	b0010
NP_414552.1		yaaW	b0011
YP_009518733.1		mbiA	b0012
NP_414554.1		yaaI	b0013
NP_414555.1		dnaK	b0014
NP_414556.1		dnaJ	b0015
NP_414557.1		insL1	b0016
NP_414559.1		mokC	b0018
YP_025292.1		hokC	b4412
NP_414560.1		nhaA	b0019
NP_414561.1		nhaR	b0020
NP_414562.1		insB1	b0021
NP_414563.1		insA1	b0022
NP_414564.1		rpsT	b0023
NP_414565.1		yaaY	b0024
NP_414566.1		ribF	b0025
NP_414567.1		ileS	b0026
NP_414568.1		lspA	b0027
NP_414569.1		fkpB	b0028
NP_414570.1		ispH	b0029
NP_414571.1		rihC	b0030
NP_414572.1		dapB	b0031
NP_414573.1		carA	b0032
NP_414574.1		carB	b0033
NP_414576.4		caiF	b0034
NP_414577.2		caiE	b0035
NP_414578.2		caiD	b0036
NP_414579.4		caiC	b0037
NP_414580.1		caiB	b0038
NP_414581.1		caiA	b0039
NP_414582.1		caiT	b0040
NP_414583.2		fixA	b0041
NP_414584.1		fixB	b0042
NP_414585.1		fixC	b0043
NP_414586.1		fixX	b0044
NP_414587.1		yaaU	b0045
NP_414588.1		kefF	b0046
NP_414589.1		kefC	b0047
NP_414590.1		folA	b0048
NP_414591.1		apaH	b0049
NP_414592.1		apaG	b0050
NP_414593.1		rsmA	b0051
NP_414594.1		pdxA	b0052
NP_414595.1		surA	b0053
NP_414596.1		lptD	b0054
NP_414597.1		djlA	b0055
YP_009518734.1		yabP	b0056
YP_009518735.1		yabQ	b0057
NP_414600.1		rluA	b0058
NP_414601.1		rapA	b0059
NP_414602.1		polB	b0060
NP_414603.1		araD	b0061
NP_414604.1		araA	b0062
NP_414605.1		araB	b0063
NP_414606.1		araC	b0064
NP_414607.1		yabI	b0065
NP_414608.1		thiQ	b0066
NP_414609.1		thiP	b0067
NP_414610.1		thiB	b0068
NP_414611.1		sgrR	b0069
YP_002791237.1		sgrT	b4662
YP_025293.1		setA	b0070
NP_414613.1		leuD	b0071
NP_414614.1		leuC	b0072
NP_414615.4		leuB	b0073
NP_414616.1		leuA	b0074
NP_414617.1		leuL	b0075
NP_414618.4		leuO	b0076
YP_009518736.1		yabR	b4726
YP_025294.2		ilvI	b0077
