WP_001264707.1	thrA	LF82_RS00005
WP_000241659.1	thrB	LF82_RS00010
WP_000781043.1	thrC	LF82_RS00015
WP_000738730.1	thrC	LF82_RS00025
WP_000906188.1	yaaA	LF82_RS00030
WP_001112565.1	yaaJ	LF82_RS00035
WP_000130187.1	tal	LF82_RS00040
WP_001094685.1	mog	LF82_RS00045
WP_001094685.1	mog	LF82_RS26330
WP_000528533.1	satP	LF82_RS00050
WP_001102393.1	msyB	LF82_RS00055
WP_000843689.1	yaaI	LF82_RS00060
WP_000516135.1	dnaK	LF82_RS00065
WP_001118464.1	dnaJ	LF82_RS00070
WP_000809168.1	mokC	LF82_RS00075
WP_001274832.1	mokC	LF82_RS00080
WP_001443162.1	mokC	LF82_RS00085
WP_000494928.1	mokC	LF82_RS00090
WP_000681841.1	nhaA	LF82_RS00095
WP_000062878.1	nhaR	LF82_RS00100
WP_001274021.1	rpsT	LF82_RS00105
WP_001332590.1	yaaY	LF82_RS00110
WP_000767329.1	ribF	LF82_RS00115
WP_001286823.1	ileS	LF82_RS00120
WP_000083369.1	lspA	LF82_RS00125
WP_000004655.1	fkpB	LF82_RS00130
WP_001166429.1	ispH	LF82_RS00135
WP_001239171.1	rihC	LF82_RS00140
WP_000220882.1	rihC	LF82_RS00145
WP_000543585.1	dapB	LF82_RS00150
WP_001298633.1	carA	LF82_RS00165
WP_001126335.1	carB	LF82_RS00170
WP_000333104.1	caiF	LF82_RS00180
WP_000122880.1	caiE	LF82_RS00185
WP_000004399.1	caiD	LF82_RS00190
WP_001298634.1	caiC	LF82_RS00195
WP_000349942.1	caiB	LF82_RS00200
WP_000347117.1	caiA	LF82_RS00205
WP_000787104.1	caiT	LF82_RS00210
WP_000692225.1	fixA	LF82_RS00215
WP_001091514.1	fixB	LF82_RS00220
WP_001287715.1	fixC	LF82_RS00225
WP_000203741.1	fixX	LF82_RS00230
WP_001183207.1	yaaU	LF82_RS00235
WP_000600725.1	kefF	LF82_RS00240
WP_000377124.1	kefC	LF82_RS00245
WP_000624375.1	folA	LF82_RS00250
WP_000125566.1	folA	LF82_RS00255
WP_001160966.1	folA	LF82_RS00260
WP_000257182.1	apaH	LF82_RS00265
WP_000610901.1	apaG	LF82_RS00270
WP_001065364.1	rsmA	LF82_RS00275
WP_000241228.1	pdxA	LF82_RS00280
WP_000800457.1	surA	LF82_RS00285
WP_000746166.1	lptD	LF82_RS00290
WP_001200599.1	djlA	LF82_RS00295
WP_000525162.1	rluA	LF82_RS00300
WP_001117002.1	rapA	LF82_RS00305
WP_000035617.1	polB	LF82_RS00310
WP_000888698.1	araD	LF82_RS00315
WP_000151734.1	araA	LF82_RS00320
WP_000951864.1	araB	LF82_RS00325
WP_001350361.1	araC	LF82_RS00330
WP_001350361.1	araC	LF82_RS26035
WP_000044502.1	araC	LF82_RS00335
WP_000049681.1	araC	LF82_RS00340
WP_001148384.1	yabI	LF82_RS00345
WP_000916263.1	thiQ	LF82_RS00350
WP_000235676.1	thiP	LF82_RS00355
WP_014640095.1	thiB	LF82_RS00360
WP_014640096.1	sgrR	LF82_RS00365
WP_001248768.1	sgrR	LF82_RS00370
WP_000818231.1	leuD	LF82_RS00375
WP_001140652.1	leuC	LF82_RS00380
WP_000042365.1	leuB	LF82_RS00385
WP_000082846.1	leuA	LF82_RS00390
WP_001300467.1	leuL	LF82_RS00395
WP_001295767.1	leuO	LF82_RS00400
WP_001295767.1	leuO	LF82_RS26000
WP_000425644.1	ilvI	LF82_RS00405
WP_001252744.1	ilvN	LF82_RS00410
WP_001303787.1	ilvN	LF82_RS00415
WP_000762401.1	cra	LF82_RS00420
WP_001295770.1	mraZ	LF82_RS00425
WP_000970490.1	rsmH	LF82_RS00430
WP_000625658.1	ftsL	LF82_RS00435
WP_000642208.1	ftsI	LF82_RS00440
WP_000775100.1	murE	LF82_RS00445
WP_000626681.1	murF	LF82_RS00450
WP_000964131.1	mraY	LF82_RS00455
WP_000796460.1	murD	LF82_RS00460
WP_001295532.1	ftsW	LF82_RS00465
WP_000016564.1	murG	LF82_RS00470
WP_001096048.1	murC	LF82_RS00475
WP_000130042.1	ddlB	LF82_RS00480
WP_000075744.1	ftsQ	LF82_RS00485
WP_000588474.1	ftsA	LF82_RS00490
WP_000462776.1	ftsZ	LF82_RS00495
WP_000595482.1	lpxC	LF82_RS00500
WP_000014320.1	secM	LF82_RS00505
WP_000905803.1	secA	LF82_RS00510
WP_000736045.1	mutT	LF82_RS00515
WP_000005042.1	yacG	LF82_RS00520
WP_001194731.1	zapD	LF82_RS00525
WP_001269524.1	coaE	LF82_RS00530
WP_120795372.1	coaE	LF82_RS26005
WP_001217338.1	guaC	LF82_RS00535
WP_000157292.1	hofC	LF82_RS00540
WP_001025178.1	gspE	LF82_RS00545
WP_000360891.1	ppdD	LF82_RS00550
WP_001135168.1	nadC	LF82_RS00560
WP_000923726.1	ampD	LF82_RS00565
WP_000172010.1	ampE	LF82_RS00570
WP_000399017.1	aroP	LF82_RS00575
WP_000502511.1	tssD	LF82_RS00580
WP_001519352.1	tssD	LF82_RS00585
WP_001304492.1	tssD	LF82_RS00590
WP_000471926.1	tssD	LF82_RS00595
WP_001337679.1	tssD	LF82_RS00600
WP_000282228.1	tssD	LF82_RS00605
