NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_416258.1	WP_000368502.1	100	99.689	astE	b1744	astE	LF82_RS09065														LF82_RS00005	b0002	49.67	35.98	146.62	56.43	75.26	31.07
NP_417992.1	WP_001063314.1	100	98.387	yhjR	b3535	bcsR	LF82_RS18540														LF82_RS00010	b0003	16.29	11.11	49.24	18.45	19.67	9.12
NP_418426.2	WP_000362388.1	100	100	nfi	b3998	nfi	LF82_RS21105														LF82_RS00015	b0004	29.9	25	77.03	31.75	42.09	27.09
NP_416708.1	WP_000013515.1	100	100	napH	b2204	napH	LF82_RS11610														LF82_RS00025	b0005	12.96	7.12	30.04	23.3	46.83	8.58
NP_417078.4	WP_014640192.1	100	98.707	tapT	b2583	tapT	LF82_RS13340														LF82_RS00030	b0006	37.78	36.98	94.25	37.25	78.05	34
YP_009518810.1	WP_000953278.1	100	100	ygdT	b4610	ygdT	LF82_RS26375														LF82_RS00035	b0007	17.19	11.25	34.49	42.08	61.14	19.56
NP_418273.1	WP_000153917.1	100	99.602	metE	b3829	metE	LF82_RS20080														LF82_RS00040	b0008	1488.49	1423.6	5048.65	1863.55	2055.94	837.78
NP_414646.1	WP_001217338.1	100	100	guaC	b0104	guaC	LF82_RS00535														LF82_RS00045	#N/A	131.62	95.25	234.78	113.82	152.12	79.96
NP_418135.1	WP_001087177.1	100	98.599	yidK	b3679	yidK	LF82_RS19345														LF82_RS00050	b0010	89.77	56	74.06	20	48.22	21.07
NP_417802.1	WP_000903381.1	100	96.842	tusB	b3343	tusB	LF82_RS17505														LF82_RS00055	b0011	7.25	3.5	5.06	3.2	10.9	4.14
NP_417363.2	WP_001363023.1	100	98.748	ygfT	b2887	ygfT	LF82_RS14990														LF82_RS00060	b0013	4.28	0.42	3.35	1.25	2.27	1.5
NP_418202.4	WP_001296585.1	100	99.197	ravA	b3746	ravA	LF82_RS19670														LF82_RS00065	b0014	1939.2	928.88	3728.54	1665.2	1654.03	2822.36
NP_418629.1	WP_000228366.1	100	98.723	cycA	b4208	cycA	LF82_RS22625														LF82_RS00070	b0015	320.89	200.47	454.31	276.58	347.56	442.12
NP_415444.1	WP_000572654.1	100	99.664	mukB	b0924	mukB	LF82_RS04445														LF82_RS00075	b4412	43.17	58	114	33.46	37	13
NP_418020.2	WP_001296517.1	100	97.345	yiaB	b3563	yiaB	LF82_RS18725														LF82_RS00080	#N/A	3.1	5.17	6.97	1.08	7.04	1.5
NP_416470.1	WP_001157265.1	100	99.153	dcm	b1961	dcm	LF82_RS10175														LF82_RS00085	#N/A	5.67	7.07	10.78	10.95	12.95	1.1
NP_417546.1	WP_000212437.1	100	98.471	ebgR	b3075	ebgR	LF82_RS16185														LF82_RS00090	#N/A	5.3	4.39	17.85	6.22	10.15	5.25
NP_418401.1	WP_001305033.1	100	97.883	btuB	b3966	btuB	LF82_RS20945														LF82_RS00095	b0019	140.95	152.92	284.36	127.38	186.03	63.81
NP_416717.1	WP_000786370.1	100	97.74	ada	b2213	ada	LF82_RS11660														LF82_RS00100	b0020	71.35	83.01	120.62	60.8	109.51	37.77
NP_416806.1	WP_000068457.1	100	100	folX	b2303	folX	LF82_RS12105														LF82_RS00105	b0023	1784.32	1463.44	1630.83	1319.82	2273.32	424.58
NP_417278.4	WP_001314086.1	100	98.805	ygdG	b2798	xni	LF82_RS14500														LF82_RS00110	b0024	5.4	3.5	16.12	8.34	14.47	1.6
NP_417979.1	WP_000191257.1	100	99.11	yhjD	b3522	yhjD	LF82_RS18470														LF82_RS00115	b0025	331.84	215.86	425.58	286.74	476.69	181.14
NP_414858.1	WP_000662401.1	100	97.826	yahJ	b0324	yahJ	LF82_RS26060														LF82_RS00120	b0026	1178.34	729.13	1558.82	1074.71	1744.05	893.81
NP_415613.1	WP_000044679.1	100	100	fabF	b1095	fabF	LF82_RS05540														LF82_RS00125	b0027	282.15	145.09	339.06	199.25	361.18	153.13
NP_417245.1	WP_000108301.1	99	99.167	queD	b2765	queD	LF82_RS14315														LF82_RS00130	b0028	120	83.17	147.33	108.83	150.67	49
NP_418578.1	WP_001192980.1	100	99.834	frdA	b4154	frdA	LF82_RS22325														LF82_RS00135	b0029	214.16	133.98	241.57	179.25	285.55	169.5
NP_417746.1	WP_000004421.1	99	97.771	fmt	b3288	fmt	LF82_RS17225														LF82_RS00140	b0030	18.76	12.91	75.22	64.27	55.77	30.08
NP_414980.2	WP_000113027.1	100	99.632	cof	b0446	cof	LF82_RS02200														LF82_RS00145	#N/A	6.33	3.22	37.02	40.42	29.58	13
NP_417205.1	WP_000158056.1	100	100	hycA	b2725	hycA	LF82_RS14135														LF82_RS00150	b0031	141.52	107.1	328.86	82.23	91.25	66.17
NP_415442.1	WP_001288856.1	100	99.773	mukF	b0922	mukF	LF82_RS04435														LF82_RS00165	b0032	35.71	19.63	43.23	15.91	42.05	12.56
YP_026189.1	WP_001034561.1	100	90.138	yghJ	b4466	sslE	LF82_RS15555														LF82_RS00170	b0033	76.5	87.92	68.86	62.56	87.93	75.8
NP_418342.2	WP_001298410.1	100	98.936	rhaR	b3906	rhaR	LF82_RS20600														LF82_RS00180	b0034	4.53	5.05	11.87	7.35	14.22	3.16
NP_415357.1	WP_000497137.1	100	100	bssR	b0836	bssR	LF82_RS03980														LF82_RS00185	b0035	1.07	0.17	2.7	5.5	6.7	1
