acc_MG	acc_LF82	Perc_cov	Perc_id	gene_name_MG	gene_id_MG	gene_name_LF82	gene_id_LF82	Log2FC_LF82	padj_LF82	Log2FC_MG	padj_MG
NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010	0.168208364	0.624099066	0.758881292	3.47028E-14
NP_416258.1	WP_000368502.1	100	99.689	astE	b1744	astE	LF82_RS09065	-0.075942271	0.856335075	0.137599309	0.632446586
NP_417992.1	WP_001063314.1	100	98.387	yhjR	b3535	bcsR	LF82_RS18540	0.344092184	0.254042715	-0.109248487	0.700671592
NP_418426.2	WP_000362388.1	100	100	nfi	b3998	nfi	LF82_RS21105	0.775948363	0.002285604	-0.578533033	0.000109069
NP_416708.1	WP_000013515.1	100	100	napH	b2204	napH	LF82_RS11610	0.959036123	0.014723409	-0.78823824	0.004136028
NP_417078.4	WP_014640192.1	100	98.707	tapT	b2583	tapT	LF82_RS13340	-0.229783344	0.446861738	0.005446281	0.978587076
YP_009518810.1	WP_000953278.1	100	100	ygdT	b4610	ygdT	LF82_RS26375	NA	NA	NA	NA
NP_418273.1	WP_000153917.1	100	99.602	metE	b3829	metE	LF82_RS20080	-1.19128156	7.10217E-05	3.161924249	4.26161E-87
NP_414646.1	WP_001217338.1	100	100	guaC	b0104	guaC	LF82_RS00535	-1.026382017	6.52427E-07	0.803856441	3.97628E-09
NP_418135.1	WP_001087177.1	100	98.599	yidK	b3679	yidK	LF82_RS19345	-0.049651515	NA	0.072362004	0.816837945
NP_417802.1	WP_000903381.1	100	96.842	tusB	b3343	tusB	LF82_RS17505	0.010217268	0.980245752	0.024848354	0.915454242
NP_417363.2	WP_001363023.1	100	98.748	ygfT	b2887	ygfT	LF82_RS14990	-0.362487028	0.274991749	-0.034824968	0.914471547
NP_418202.4	WP_001296585.1	100	99.197	ravA	b3746	ravA	LF82_RS19670	-0.14076186	0.687892745	0.397296533	0.013141714
NP_418629.1	WP_000228366.1	100	98.723	cycA	b4208	cycA	LF82_RS22625	-0.265854857	0.422094639	0.239926915	0.03822191
NP_415444.1	WP_000572654.1	100	99.664	mukB	b0924	mukB	LF82_RS04445	0.460244996	0.038532548	-0.489304952	6.67361E-13
NP_418020.2	WP_001296517.1	100	97.345	yiaB	b3563	yiaB	LF82_RS18725	0.03572353	NA	-0.007166048	NA
NP_416470.1	WP_001157265.1	100	99.153	dcm	b1961	dcm	LF82_RS10175	0.40339774	0.129167563	-0.165616713	0.230441186
NP_417546.1	WP_000212437.1	100	98.471	ebgR	b3075	ebgR	LF82_RS16185	-0.097298119	0.78350495	-0.095098856	0.616903413
NP_418401.1	WP_001305033.1	100	97.883	btuB	b3966	btuB	LF82_RS20945	0.457095061	0.02865286	-0.463268676	1.24699E-05
NP_416717.1	WP_000786370.1	100	97.74	ada	b2213	ada	LF82_RS11660	0.029977964	0.942046812	-0.022125601	0.919596716
NP_416806.1	WP_000068457.1	100	100	folX	b2303	folX	LF82_RS12105	0.103588178	0.764842588	-0.465376113	0.001600184
NP_417278.4	WP_001314086.1	100	98.805	ygdG	b2798	xni	LF82_RS14500	-0.416489661	0.193368459	-0.064695001	0.738832624
